x,y,z
36.46929619486044,32.92185968183672,19.562888992482954
42.20975421012761,26.876058155119164,22.64685845813181
33.90441069867723,26.708119223821456,8.601056931414254
29.82807482081464,13.31117265893596,10.807163801643261
22.873876347532196,6.784455101684051,8.059072198589826
10.225021385700133,-5.86439986014801,24.188843190956238
1.1410519200512792,-19.299514363964807,37.76136227492571
-14.683375560864752,-22.03233879144572,29.662125633704328
-24.568871744070858,-33.20791131052969,23.8376981527883
-30.35513128605559,-34.101041081522055,8.143041664238682
-38.797879377658646,-41.162109783812134,-3.597416351028495
-36.64520762193345,-38.42165176854496,-35.05543161820407
-32.27116182040674,-16.940735738010606,-56.4447445953033
-25.69864273643727,-14.330048715109841,-47.7271873433949
-18.492535866208264,3.5172795291649672,-21.67375222889109
-9.439100751704446,14.731019987180234,-2.2004697861429987
4.0418152788299055,23.318806246722218,1.6086905192005128
22.736471767379523,33.31880624672222,-9.421843831944525
30.835708408600897,28.334073422294736,-3.68138581667735
30.553265660509293,40.93712685740924,8.807163801643261
31.347158790280286,40.41040930015733,14.868232503933339
27.736471767379523,28.479111590233668,4.394950061185246
28.240288561272653,22.647050521531376,-15.452378183089563
19.904410698677232,7.753920750539013,-6.040164442631548
9.835708408600897,2.227203193287105,7.975102732940972
-1.5001694539945223,-2.2613464250335062,27.219377542101274
-9.217726705902919,-18.986537264728163,30.31098059553639
-18.69864273643727,-24.3758502418274,18.356782122253946
-28.011619835673912,-37.07814031816328,15.593423343627995
-38.942917545597574,-32.94073573801061,11.051438610803567
-34.46200151506323,-43.94836932579687,-17.956194976982694
-30.118490064681545,-35.86439986014801,-18.437111007517046
-20.973451896742613,-29.994170852514422,-36.024897267059025
-20.652841209719714,-12.307147951751062,-20.54398123652468
-12.22536029368918,3.005829147485578,-1.9714621525552125
3.3166244391352486,16.677584872676416,-8.963828564768953
12.400593904784103,16.845523803974125,-8.437111007517045
25.744105355165782,36.402775712371074,-0.7500881067536858
25.316624439135246,38.25010395664588,15.013270671872268
29.202120622341354,38.2272031932871,11.112507313093642
33.576166423868074,38.471478002447405,-0.9103934502651361
24.118151156692498,32.80735586504283,-4.085965969349106
22.62196795058563,23.11269937649321,-20.88749268690636
13.873876347532194,6.502012353592448,-10.34550795408193
7.438761843715402,1.7462871627527532,3.051438610803566
-4.836047316589942,-4.681193753277781,16.738461511566925
-13.232993881475439,-19.513254821980073,28.92166761843715
-17.74444426315483,-24.467453295262516,18.379682885612727
-27.767345026513606,-35.788063982285415,15.318614183322651
-36.34749769826933,-32.04760596701824,11.837698152788299
-30.507803041780782,-37.24607924946099,-14.99436291591399
-32.26352823262048,-37.528521997552595,-15.963828564768955
-23.06505495017773,-29.55905634869763,-28.757721694539946
-17.04215418681895,-16.803331157857937,-18.330240778509413
-10.637574034147194,0.9294932696229824,-7.124133908280403
0.8433419963871569,12.120332964279472,-10.406576656372005
13.064716042188683,13.79208868947031,-5.353141541868189
29.09525039333372,31.65468410931764,4.768995862711963
29.316624439135246,35.44094365130237,18.15067525202494
32.96547940096731,35.387508536798556,10.02090425965853
32.23265497348639,39.91422609405046,1.1430416642386807
22.63723512615815,33.845523803974125,-2.1012331449216246
23.14105192005128,24.28063830779092,-23.04016444263155
14.583800011654333,9.28827189557718,-16.284439251791856
